name,artist,album,album_img_url,genre,total_time,album_type,preview_url
"Bla, bla, bla",C.P.V.,Lo más bruto de C.P.V.,https://i.scdn.co/image/ab67616d0000b273e585c5d30ffb53492b901b42,spanish hip hop,253546.0,album,https://p.scdn.co/mp3-preview/5639d7aa0513520b377e00e6d92275628b6bdfb2?cid=6af1b5af4ba3493a8bb4d6ffd46cc487
Hell-Eluyah,"Drisket, Ergo Pro, Krl, Elias MNG",Atlas Rider the Chronicles of the Nomad Mixtape,https://i.scdn.co/image/ab67616d0000b2739c36f18faf11cbf78878287f,rap underground espanol,143374.0,album,https://p.scdn.co/mp3-preview/0ab4b146465887da10f1e11b1c462470a263b407?cid=6af1b5af4ba3493a8bb4d6ffd46cc487
Beggin',Frankie Valli & The Four Seasons,New Gold Hits,https://i.scdn.co/image/ab67616d0000b2735c535d46dccb0a6e919116a8,"adult standards, brill building pop, bubblegum pop, doo-wop, lounge, motown, northern soul, rock-and-roll",170626.0,album,https://p.scdn.co/mp3-preview/ac675729c5dc9ff817db839404c5e8c537141db7?cid=6af1b5af4ba3493a8bb4d6ffd46cc487
Filosofía y Letras,Violadores Del Verso,Vivir para Contarlo,https://i.scdn.co/image/ab67616d0000b27399c9ee69804b18897af3ff3a,"boom bap espanol, rap underground espanol, spanish hip hop, venezuelan hip hop",318746.0,album,https://p.scdn.co/mp3-preview/1030352c29494fb2fffac450b6e61e17a433709b?cid=6af1b5af4ba3493a8bb4d6ffd46cc487
El Castigo de los Débiles,Hablando En Plata,Libertad Hambre,https://i.scdn.co/image/ab67616d0000b273b0dc1c94d6ae165bbd5a6429,spanish hip hop,284933.0,album,https://p.scdn.co/mp3-preview/4e241b31f2d50fe5001a1e7bef57e9bc132b010f?cid=6af1b5af4ba3493a8bb4d6ffd46cc487
"King Without a Crown - Live at Stubb's, Austin, TX - February 2005",Matisyahu,Live at Stubb's,https://i.scdn.co/image/ab67616d0000b27320bab9067aa9f58ecb56fab2,reggae fusion,288600.0,album,https://p.scdn.co/mp3-preview/70bb1eecb6549e56abc843eb02f3e1cb13d678dd?cid=6af1b5af4ba3493a8bb4d6ffd46cc487
Te Voy a Hundir,Hablando En Plata,Libertad Hambre,https://i.scdn.co/image/ab67616d0000b273b0dc1c94d6ae165bbd5a6429,spanish hip hop,322853.0,album,https://p.scdn.co/mp3-preview/99265cfd4b02fcffc03044a412e2c194f18d1600?cid=6af1b5af4ba3493a8bb4d6ffd46cc487
El liricista en el tejado,SFDK,2001 Odisea en el lodo,https://i.scdn.co/image/ab67616d0000b27381572e91ef8a9e1b92862f1b,"rap underground espanol, spanish hip hop",341620.0,album,https://p.scdn.co/mp3-preview/05bd5261eac6448302e4da6e6b26030a03b63894?cid=6af1b5af4ba3493a8bb4d6ffd46cc487
Todo Lo Que Importa,"SFDK, Fyahbwoy",Sin Miedo a Vivir (Extended Version),https://i.scdn.co/image/ab67616d0000b273b566b6c7c306106253fe1e3e,"rap underground espanol, spanish hip hop",248106.0,album,https://p.scdn.co/mp3-preview/8aa27981b2dbb13a6cdba433ac9d8c8cba11e7ea?cid=6af1b5af4ba3493a8bb4d6ffd46cc487
Rimadero,C.P.V.,Madrid Zona Bruta,https://i.scdn.co/image/ab67616d0000b273672e00f341b80a6ce5be0ead,spanish hip hop,255200.0,album,https://p.scdn.co/mp3-preview/161a3c04ac8c4b753c016a2cad7957cfff05967b?cid=6af1b5af4ba3493a8bb4d6ffd46cc487
